,count
1389,28
1390,25
1391,22
1392,18
1393,15
1394,14
1395,13
1396,13
1397,14
1398,16
1399,20
1400,24
1401,28
1402,32
1403,34
1404,37
1405,39
1406,41
1407,41
1408,39
1409,34
1410,30
1411,27
1412,24
1413,21
1414,19
1415,16
1416,14
1417,12
1418,11
1419,10
1420,11
1421,13
1422,16
1423,19
1424,21
1425,23
1426,23
1427,23
1428,24
1429,26
1430,29
1431,32
1432,33
1433,32
1434,30
1435,27
1436,24
1437,23
1438,22
1439,20
1440,18
1441,16
1442,15
1443,14
1444,14
1445,15
1446,19
1447,25
1448,30
1449,34
1450,35
1451,33
1452,32
1453,31
1454,32
1455,33
1456,35
1457,36
1458,38
1459,38
1460,37
1461,34
1462,30
1463,27
1464,26
1465,25
1466,24
1467,22
1468,19
1469,17
1470,17
1471,18
1472,20
1473,23
1474,25
1475,25
1476,25
1477,25
1478,25
1479,26
1480,27
1481,28
1482,30
1483,31
1484,32
1485,32
1486,31
1487,28
1488,24
1489,20
1490,17
1491,16
1492,15
1493,14
1494,15
1495,17
1496,20
1497,23
1498,28
1499,31
1500,33
1501,34
1502,34
1503,35
1504,36
1505,36
1506,34
1507,32
1508,28
1509,25
1510,23
1511,21
1512,19
1513,17
1514,16
1515,15
1516,15
1517,17
1518,20
1519,23
1520,26
1521,30
1522,32
1523,35
1524,36
1525,35
1526,33
1527,30
1528,27
1529,25
1530,23
1531,23
1532,23
1533,23
1534,22
1535,21
1536,19
1537,18
1538,16
1539,15
1540,14
1541,14
1542,15
1543,17
1544,21
1545,25
1546,29
1547,32
1548,36
1549,38
1550,38
1551,37
1552,34
1553,30
1554,27
1555,23
1556,20
1557,17
1558,16
1559,15
1560,14
1561,15
1562,15
1563,14
1564,13
1565,13
1566,14
1567,16
1568,20
1569,23
1570,25
1571,25
1572,25
1573,24
1574,24
1575,25
1576,26
1577,28
1578,29
1579,30
1580,30
1581,30
1582,28
1583,27
1584,24
1585,20
1586,17
1587,14
1588,13
1589,15
1590,19
1591,24
1592,28
1593,30
1594,32
1595,34
1596,36
1597,38
1598,39
1599,39
1600,37
1601,34
1602,31
1603,28
1604,26
1605,24
1606,23
1607,23
1608,21
1609,19
1610,17
1611,15
1612,15
1613,16
1614,20
1615,25
1616,30
1617,34
1618,35
1619,35
1620,34
1621,33
1622,32
1623,31
1624,30
1625,29
1626,29
1627,28
1628,27
1629,26
1630,24
1631,22
1632,21
1633,20
1634,20
1635,19
1636,18
1637,17
1638,16
1639,16
1640,19
1641,24
1642,30
1643,35
1644,39
1645,41
1646,42
1647,42
1648,41
1649,39
1650,37
1651,34
1652,31
1653,28
1654,25
1655,22
1656,20
1657,19
1658,19
1659,19
1660,18
1661,16
1662,15
1663,15
1664,16
1665,19
1666,22
1667,25
1668,28
1669,31
1670,32
1671,33
1672,33
1673,32
1674,30
1675,28
1676,25
1677,22
1678,18
1679,16
1680,14
1681,13
1682,12
1683,13
1684,15
1685,17
1686,20
1687,24
1688,28
1689,33
1690,36
1691,39
1692,40
1693,41
1694,40
1695,39
1696,38
1697,37
1698,36
1699,34
1700,31
1701,27
1702,24
1703,21
1704,19
1705,17
1706,14
1707,13
1708,13
1709,15
1710,19
1711,23
1712,27
1713,30
1714,32
1715,33
1716,33
1717,34
1718,36
1719,39
1720,41
1721,42
1722,42
1723,39
1724,36
1725,31
1726,25
1727,21
1728,17
1729,15
1730,14
1731,14
1732,15
1733,17
1734,20
1735,24
1736,27
1737,29
1738,30
1739,31
1740,33
1741,35
1742,36
1743,37
1744,37
1745,36
1746,35
1747,31
1748,27
1749,23
1750,19
1751,17
1752,15
1753,14
1754,12
1755,12
1756,12
